stop_id,stop_lat,stop_lon,stop_name,stop_desc,location_type,parent_station,platform_code
0779064-1,53.484739,14.976093,Rożnowo,pozycja nie zweryfikowana,,,
0779070-1,53.481540,15.139933,Sokolniki,pozycja nie zweryfikowana,,,
0779093-1,53.51397,15.09599,Stodólska,pozycja nie zweryfikowana,,,
0779101-1,53.5248,15.1089,Leszczynka skrzyż.,pozycja nie zweryfikowana,,,
0779118-1,53.497179,14.943595,Tarnowo,pozycja nie zweryfikowana,,,
0779124-1,53.51124,15.07077,Wisławie,pozycja nie zweryfikowana,,,
0779147-1,53.490407,14.943262,Zagórce,pozycja nie zweryfikowana,,,
0779762-1,53.75339,15.01657,Błotno,pozycja nie zweryfikowana,,,
0779934-1,53.676928,15.214756,Jarchlino,pozycja nie zweryfikowana,,,
0779940-1,53.69112,15.08002,Karsk,pozycja nie zweryfikowana,,,
0779986-1,53.66207,15.18482,Kulice,pozycja nie zweryfikowana,,,
0780080-1,53.64366,15.05582,Olchowo skrzyż. Kościuszki,pozycja nie zweryfikowana,,,
0780156-1,53.61094,15.18143,Ostrzyca skrzyż.,pozycja nie zweryfikowana,,,
0780179-1,53.61906,15.15495,Sąpolnica,pozycja nie zweryfikowana,,,
0780200-1,53.66265,15.26044,Słajsino,pozycja nie zweryfikowana,,,
0780280-1,53.647652,15.224336,Wierzbięcin,pozycja nie zweryfikowana,,,
0780423-1,53.63777,14.92879,Bodzęcin,pozycja nie zweryfikowana,,,
0780430-1,53.63301,15.01402,Kikorze,pozycja nie zweryfikowana,,,
0780506-1,53.6326,14.98514,Redostowo,pozycja nie zweryfikowana,,,
0780558-1,53.775874,15.313976,Czarne,pozycja nie zweryfikowana,,,
0780676-1,53.82232,15.25593,Karczewie,pozycja nie zweryfikowana,,,
0781530-1,53.67921,14.81337,Babigoszcz,pozycja nie zweryfikowana,,,
0781581-1,53.764914,14.909477,Czarnogłowy,pozycja nie zweryfikowana,,,
0781598-1,53.760630,14.893395,Świętoszewko,pozycja nie zweryfikowana,,,
0781687-1,53.773047,14.873546,Moracz,pozycja nie zweryfikowana,,,
0781701-1,53.755749,14.782780,Przybiernów,pozycja nie zweryfikowana,,,
0781724-1,53.767451,14.852601,Rokita,pozycja nie zweryfikowana,,,
0781776-1,53.788334,14.926000,Włodzisław,pozycja nie zweryfikowana,,,
0782066-1,53.64328,15.44937,Borkowo Wielkie,pozycja nie zweryfikowana,,,
